Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1206,6,4.7u,
"C10, C11, C12",0603,3,82p,
"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24",1206,12,22u,
"C7, C8, C9",0603,3,10n,
"D1, D2, D3",D_SMC,3,D_Schottky,
D4,0603,1,BATT,
D5,0603,1,5V,
D6,0603,1,6.5V,
D7,0603,1,12V,
J1,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,PWR_IN,
J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,PWR_OUT1,
J3,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,PWR_OUT2,
J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,PWR_OUT3,
L1,L_Taiyo-Yuden_NR-10050_9.8x10.0mm_HandSoldering,1,15u,
"L2, L3",L_Taiyo-Yuden_NR-10050_9.8x10.0mm_HandSoldering,2,22u,
"R1, R3, R5",0603,3,100k,
R10,0603,1,500,
R2,0603,1,31.6k,
R4,0603,1,22.9k,
R6,0603,1,18k,
R7,0603,1,1.5k,
R8,0603,1,240,
R9,0603,1,390,
"U1, U2, U3",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_Handsoldering,3,RT6285,
